time_start,time_end,ft_abv_grnd,RIL_63_height_12.75_avg_PAR,RIL_73_height_10.2_avg_PAR,RIL_63_avg_temp_Celsius,RIL_63_avg_relative_humidity,RIL_73_avg_temp_Celsius,RIL_73_avg_relative_humidity
02:04:10 PM,02:07:10 PM,2,32.2000,48.6000,33.536,61.98,36.744,51.5
02:08:30 PM,02:11:30 PM,3,31.3500,69.7500,33.7612,57.32,36.1842,47.6
02:13:37 PM,02:16:37 PM,4,32.3000,75.3000,34.031,51.88,35.7752,47.44
02:19:10 PM,02:22:10 PM,5,33.5500,57.4000,34.3544,53.54,35.861,49.16
02:25:10 PM,02:28:10 PM,6,83.0500,171.2500,34.7428,52.44,36.1202,51.2
02:30:40 PM,02:33:40 PM,7,154.6000,202.0500,35.2518,48.72,36.5106,46.52
02:34:35 PM,02:37:35 PM,8,263.9333,556.1000,35.7548,47.12,36.9544,46.38
02:48:27 PM,02:51:44 PM,9,259.2000,1068.6500,36.9834,45.46,38.7514,41.26
02:54:15 PM,02:57:50 PM,10,589.3000,1952.5500,38.764,41.38,40.572,40.32
03:03:30 PM,03:09:53 PM,11,334.1667,568.7800,37.6302,44.56,39.4794,41.64
03:10:25 PM,03:13:25 PM,12,1118.3667,1100.1500,37.2166,45.06,39.0696,41.68
03:14:10 PM,03:17:10 PM,13,2106.4500,1668.2500,39.5652,38.06,40.8392,37.56
