time_start,time_end,ft_abv_grnd,RIL_63_height_12.75_avg_PAR,RIL_73_height_10.2_avg_PAR,RIL_63_avg_temp_Celsius,RIL_63_avg_relative_humidity,RIL_73_avg_temp_Celsius,RIL_73_avg_relative_humidity
03:30:00 PM,03:33:00 PM,14,844.9500,662.1500,38.4812,44.88,40.5064,38.22
03:35:45 PM,03:38:45 PM,13,1233.4500,1594.9000,38.4676,40.72,39.9736,38.14
03:42:05 PM,03:45:05 PM,12,1074.8000,1242.3000,37.2458,46.84,39.0178,40.3
03:47:00 PM,03:50:00 PM,11,918.4500,1520.2000,38.6426,42.9,40.8614,37.62
03:52:00 PM,03:55:00 PM,10,845.4000,1001.6000,38.9672,42.08,41.6814,35.56
03:57:58 PM,04:01:00 PM,9,137.8000,201.6667,37.9048,45.34,40.297,41.64
04:04:00 PM,04:07:00 PM,8,103.0000,149.7667,36.2978,49.36,37.6628,48.8
04:09:00 PM,04:12:00 PM,7,149.0500,154.1333,36.1416,47.34,36.984,45.42
04:14:00 PM,04:17:00 PM,6,134.5500,85.2667,36.0436,50.26,36.8176,48.42
04:19:30 PM,04:22:30 PM,5,41.7500,80.2000,35.4834,49.34,36.0946,51.56
04:24:40 PM,04:27:40 PM,4,29.7000,51.1500,35.305,50.42,35.4988,51.46
04:29:50 PM,04:32:50 PM,3,19.5500,23.6000,34.809,52.84,34.9378,55.12
04:34:30 PM,04:37:30 PM,2,25.5000,20.7000,34.1256,55.4,34.702,53.92
