time_start,time_end,ft_abv_grnd,RIL_63_height_13.0_avg_PAR,RIL_73_height_10.2_avg_PAR,RIL_63_avg_temp_Celsius,RIL_63_avg_relative_humidity,RIL_73_avg_temp_Celsius,RIL_73_avg_relative_humidity,avg_abv_PAR
12:12:07 PM,12:15:07 PM,1,256.3,539.2,32.7936,53.36,33.973,50.3,0
12:32:52 PM,12:35:52 PM,2,224.4,272.35,33.396,49.3,34.4694,45.98,0
12:37:00 PM,12:40:00 PM,3,227.65,385.45,33.3018,50.98,34.0046,47.84,0
12:45:15 PM,12:48:15 PM,4,218.15,370.7,33.8798,48.76,34.5682,47.18,0
12:49:28 PM,12:52:28 PM,5,475.95,233.4,34.2282,48.64,34.4116,48.54,0
01:01:43 PM,01:04:43 PM,6,443,300.9,34.4586,47.88,34.7286,46.84,2465.9
01:07:11 PM,01:10:11 PM,7,465.2,316.5,35.2182,45.8,35.4232,45.84,2314.4
01:11:20 PM,01:14:20 PM,8,564.55,1057.85,34.4352,47.2,34.813,45.54,2307.35
01:23:45 PM,01:26:45 PM,9,1225.45,1818.75,35.5768,43.78,35.7696,43.72,2445.35
01:28:30 PM,01:31:30 PM,10,1383.8,2109.3,35.4488,44.9,35.7012,43.42,2391.95
01:34:11 PM,01:37:30 PM,11,1136.05,1584.3,35.9948,44.76,36.1402,43.48,1777.35
01:44:20 PM,01:48:12 PM,12,607.9667,701.3,35.4796,46.1,35.5414,45.22,739.1
01:49:20 PM,01:52:20 PM,13,715.55,708.05,35.51475,43.175,35.14625,44.85,740.8
