time_start,time_end,ft_abv_grnd,RIL_63_height_13_avg_PAR,RIL_73_height_10.2_avg_PAR,RIL_63_avg_temp_Celsius,RIL_63_avg_relative_humidity,RIL_73_avg_temp_Celsius,RIL_73_avg_relative_humidity,avg_abv_PAR
01:56:40 PM,01:59:40 PM,2,224.4,272.35,32.7936,53.36,33.973,50.3,0
02:01:06 PM,02:04:20 AM,3,227.65,385.45,33.396,49.3,34.4694,45.98,0
02:05:55 PM,02:08:55 PM,4,218.15,370.7,33.3018,50.98,34.0046,47.84,0
02:10:08 PM,02:13:08 PM,5,475.95,233.4,33.8798,48.76,34.5682,47.18,0
02:14:10 PM,02:17:10 PM,6,443,300.9,34.2282,48.64,34.4116,48.54,0
02:18:45 PM,02:21:45 PM,7,465.2,316.5,34.4586,47.88,34.7286,46.84,2465.9
02:22:50 PM,02:25:50 PM,8,564.55,1057.85,35.2182,45.8,35.4232,45.84,2314.4
02:27:30 PM,02:30:20 PM,9,1225.45,1818.75,34.4352,47.2,34.813,45.54,2307.35
02:32:05 PM,02:35:05 PM,10,1383.8,2109.3,35.5768,43.78,35.7696,43.72,2445.35
02:42:40 PM,02:45:40 PM,11,1136.05,1584.3,35.4488,44.9,35.7012,43.42,2391.95
02:47:00 PM,02:49:00 PM,14,1965.2,1911.7,35.51475,43.175,35.14625,44.85,740.8
