,Time,1,2,3,4
S/N,,720479,720479,720479,720479
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception #2,Light Interception #2,Light Interception #2,Light Interception #2
Property,,Maximum Temperature,Temperature,Maximum Humidity,Humidity
1,2014-07-22 12:37:57,,22.625 °C,,49.6 %RH
2,2014-07-22 12:38:27,22.627 °C,22.616 °C,49.6 %RH,49.6 %RH
3,2014-07-22 12:38:57,22.614 °C,22.601 °C,49.6 %RH,49.6 %RH
4,2014-07-22 12:39:27,22.600 °C,22.584 °C,49.6 %RH,49.6 %RH
5,2014-07-22 12:39:57,22.584 °C,22.571 °C,49.6 %RH,49.6 %RH
6,2014-07-22 12:40:27,22.571 °C,22.555 °C,49.6 %RH,49.6 %RH
7,2014-07-22 12:40:57,22.557 °C,22.544 °C,49.9 %RH,49.9 %RH
8,2014-07-22 12:41:27,22.544 °C,22.538 °C,50.1 %RH,50.1 %RH
9,2014-07-22 12:41:57,22.538 °C,22.531 °C,50.4 %RH,50.4 %RH
10,2014-07-22 12:42:27,22.534 °C,22.531 °C,50.6 %RH,50.4 %RH
11,2014-07-22 12:42:57,22.532 °C,22.532 °C,50.9 %RH,50.6 %RH
12,2014-07-22 12:43:27,22.539 °C,22.538 °C,52.7 %RH,52.4 %RH
13,2014-07-22 12:43:57,22.549 °C,22.548 °C,52.9 %RH,52.9 %RH
14,2014-07-22 12:44:27,22.558 °C,22.558 °C,52.9 %RH,52.9 %RH
15,2014-07-22 12:44:57,22.665 °C,22.665 °C,56.0 %RH,56.0 %RH
16,2014-07-22 12:45:27,22.888 °C,22.888 °C,64.4 %RH,64.4 %RH
17,2014-07-22 12:45:57,23.217 °C,23.217 °C,66.0 %RH,66.0 %RH
18,2014-07-22 12:46:27,23.576 °C,23.576 °C,71.6 %RH,71.6 %RH
19,2014-07-22 12:46:57,23.935 °C,23.935 °C,73.9 %RH,73.6 %RH
20,2014-07-22 12:47:27,24.296 °C,24.296 °C,73.9 %RH,72.7 %RH
21,2014-07-22 12:47:57,24.680 °C,24.680 °C,73.6 %RH,73.3 %RH
22,2014-07-22 12:48:27,25.113 °C,25.113 °C,73.9 %RH,73.6 %RH
23,2014-07-22 12:48:57,25.578 °C,25.578 °C,74.1 %RH,73.9 %RH
24,2014-07-22 12:49:27,26.014 °C,26.014 °C,73.6 %RH,72.7 %RH
25,2014-07-22 12:49:57,26.369 °C,26.369 °C,73.0 %RH,71.6 %RH
26,2014-07-22 12:50:27,26.692 °C,26.692 °C,71.4 %RH,70.8 %RH
27,2014-07-22 12:50:57,27.014 °C,27.014 °C,70.8 %RH,70.0 %RH
28,2014-07-22 12:51:27,27.326 °C,27.326 °C,70.6 %RH,69.0 %RH
29,2014-07-22 12:51:57,27.632 °C,27.632 °C,69.0 %RH,67.6 %RH
30,2014-07-22 12:52:27,27.906 °C,27.906 °C,67.6 %RH,66.8 %RH
31,2014-07-22 12:52:57,28.158 °C,28.158 °C,66.8 %RH,66.3 %RH
32,2014-07-22 12:53:27,28.373 °C,28.373 °C,66.3 %RH,65.8 %RH
33,2014-07-22 12:53:57,28.563 °C,28.563 °C,65.8 %RH,65.0 %RH
