,Time,1,2,3,4
S/N,,720479,720479,720479,720479
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception #2,Light Interception #2,Light Interception #2,Light Interception #2
Property,,Maximum Temperature,Temperature,Maximum Humidity,Humidity
1,2014-07-23 12:43:00,,23.862 °C,,46.3 %RH
2,2014-07-23 12:43:30,23.869 °C,23.868 °C,48.1 %RH,48.1 %RH
3,2014-07-23 12:44:00,23.885 °C,23.885 °C,48.9 %RH,46.6 %RH
4,2014-07-23 12:44:30,23.907 °C,23.907 °C,46.6 %RH,45.8 %RH
5,2014-07-23 12:45:00,23.926 °C,23.926 °C,50.6 %RH,50.6 %RH
6,2014-07-23 12:45:30,23.952 °C,23.941 °C,56.5 %RH,56.5 %RH
7,2014-07-23 12:46:00,23.957 °C,23.957 °C,59.1 %RH,59.1 %RH
8,2014-07-23 12:46:30,23.957 °C,23.957 °C,59.6 %RH,59.6 %RH
9,2014-07-23 12:47:00,23.957 °C,23.951 °C,60.4 %RH,60.4 %RH
10,2014-07-23 12:47:30,23.951 °C,23.951 °C,61.8 %RH,61.8 %RH
11,2014-07-23 12:48:00,23.944 °C,23.930 °C,62.6 %RH,62.6 %RH
12,2014-07-23 12:48:30,23.933 °C,23.920 °C,63.1 %RH,63.1 %RH
13,2014-07-23 12:49:00,23.920 °C,23.900 °C,63.4 %RH,63.1 %RH
14,2014-07-23 12:49:30,23.904 °C,23.885 °C,63.4 %RH,63.1 %RH
15,2014-07-23 12:50:00,23.885 °C,23.868 °C,63.4 %RH,62.8 %RH
16,2014-07-23 12:50:30,23.867 °C,23.846 °C,63.1 %RH,63.1 %RH
17,2014-07-23 12:51:00,23.846 °C,23.826 °C,63.4 %RH,63.4 %RH
18,2014-07-23 12:51:30,23.826 °C,23.805 °C,63.6 %RH,63.4 %RH
19,2014-07-23 12:52:00,23.804 °C,23.790 °C,63.6 %RH,63.6 %RH
20,2014-07-23 12:52:30,23.787 °C,23.771 °C,63.9 %RH,63.9 %RH
21,2014-07-23 12:53:00,23.768 °C,23.747 °C,63.9 %RH,63.6 %RH
22,2014-07-23 12:53:30,23.747 °C,23.733 °C,64.2 %RH,64.2 %RH
23,2014-07-23 12:54:00,23.730 °C,23.711 °C,64.2 %RH,64.2 %RH
24,2014-07-23 12:54:30,23.710 °C,23.695 °C,64.4 %RH,64.4 %RH
25,2014-07-23 12:55:00,23.695 °C,23.675 °C,64.4 %RH,64.4 %RH
26,2014-07-23 12:55:30,23.676 °C,23.657 °C,64.7 %RH,64.7 %RH
27,2014-07-23 12:56:00,23.657 °C,23.643 °C,64.7 %RH,64.4 %RH
28,2014-07-23 12:56:30,23.643 °C,23.625 °C,64.7 %RH,64.7 %RH
29,2014-07-23 12:57:00,23.627 °C,23.605 °C,65.0 %RH,64.7 %RH
30,2014-07-23 12:57:30,23.608 °C,23.592 °C,65.0 %RH,65.0 %RH
31,2014-07-23 12:58:00,23.594 °C,23.576 °C,65.2 %RH,65.0 %RH
32,2014-07-23 12:58:30,23.578 °C,23.562 °C,65.0 %RH,65.0 %RH
33,2014-07-23 12:59:00,23.559 °C,23.546 °C,65.2 %RH,65.2 %RH
