,Time,1,2,3,4,5,6
S/N,,720319,720319,720319,720319,720319,720319
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001
Property,,Maximum Temperature,Temperature,Minimum Temperature,Maximum Humidity,Humidity,Minimum Humidity
1,2014-07-24 10:16:46,,29.482 °C,,,34.3 %RH,
2,2014-07-24 10:17:16,29.482 °C,29.326 °C,29.326 °C,35.1 %RH,35.1 %RH,34.6 %RH
3,2014-07-24 10:17:46,29.323 °C,29.155 °C,29.155 °C,36.0 %RH,35.8 %RH,35.1 %RH
4,2014-07-24 10:18:16,29.147 °C,28.980 °C,28.980 °C,37.7 %RH,37.7 %RH,35.8 %RH
5,2014-07-24 10:18:46,28.977 °C,28.824 °C,28.824 °C,41.6 %RH,37.2 %RH,37.2 %RH
6,2014-07-24 10:19:16,28.819 °C,28.664 °C,28.664 °C,37.0 %RH,36.3 %RH,36.3 %RH
7,2014-07-24 10:19:46,28.656 °C,28.523 °C,28.523 °C,36.3 %RH,36.3 %RH,36.0 %RH
8,2014-07-24 10:20:16,28.517 °C,28.394 °C,28.394 °C,36.3 %RH,36.0 %RH,36.0 %RH
9,2014-07-24 10:20:46,28.391 °C,28.286 °C,28.286 °C,36.0 %RH,36.0 %RH,36.0 %RH
10,2014-07-24 10:21:16,28.282 °C,28.174 °C,28.174 °C,36.3 %RH,36.0 %RH,36.0 %RH
11,2014-07-24 10:21:46,28.173 °C,28.069 °C,28.069 °C,36.0 %RH,36.0 %RH,36.0 %RH
12,2014-07-24 10:22:16,28.066 °C,27.970 °C,27.970 °C,36.3 %RH,36.3 %RH,36.0 %RH
13,2014-07-24 10:22:46,27.970 °C,27.876 °C,27.876 °C,36.3 %RH,36.3 %RH,36.0 %RH
14,2014-07-24 10:23:16,27.872 °C,27.784 °C,27.784 °C,36.5 %RH,36.5 %RH,36.3 %RH
15,2014-07-24 10:23:46,27.783 °C,27.698 °C,27.698 °C,36.5 %RH,36.5 %RH,36.3 %RH
16,2014-07-24 10:24:16,27.695 °C,27.612 °C,27.612 °C,36.8 %RH,36.5 %RH,36.5 %RH
17,2014-07-24 10:24:46,27.609 °C,27.525 °C,27.525 °C,36.8 %RH,36.8 %RH,36.5 %RH
18,2014-07-24 10:25:16,27.524 °C,27.448 °C,27.448 °C,37.0 %RH,37.0 %RH,36.8 %RH
19,2014-07-24 10:25:46,27.444 °C,27.371 °C,27.371 °C,37.0 %RH,37.0 %RH,37.0 %RH
20,2014-07-24 10:26:16,27.367 °C,27.294 °C,27.294 °C,37.2 %RH,37.2 %RH,37.0 %RH
21,2014-07-24 10:26:46,27.291 °C,27.221 °C,27.221 °C,37.5 %RH,37.5 %RH,37.2 %RH
22,2014-07-24 10:27:16,27.221 °C,27.146 °C,27.146 °C,37.5 %RH,37.5 %RH,37.2 %RH
23,2014-07-24 10:27:46,27.149 °C,27.078 °C,27.078 °C,37.7 %RH,37.7 %RH,37.5 %RH
24,2014-07-24 10:28:16,27.076 °C,27.011 °C,27.011 °C,38.0 %RH,38.0 %RH,37.7 %RH
25,2014-07-24 10:28:46,27.009 °C,26.944 °C,26.943 °C,38.0 %RH,38.0 %RH,37.7 %RH
26,2014-07-24 10:29:16,26.938 °C,26.875 °C,26.875 °C,38.2 %RH,38.0 %RH,38.0 %RH
27,2014-07-24 10:29:46,26.876 °C,26.810 °C,26.810 °C,38.0 %RH,38.0 %RH,38.0 %RH
28,2014-07-24 10:30:16,26.811 °C,26.745 °C,26.745 °C,38.2 %RH,38.2 %RH,38.0 %RH
29,2014-07-24 10:30:46,26.746 °C,26.681 °C,26.681 °C,38.2 %RH,38.2 %RH,38.0 %RH
30,2014-07-24 10:31:16,26.684 °C,26.624 °C,26.624 °C,38.4 %RH,38.4 %RH,38.2 %RH
31,2014-07-24 10:31:46,26.624 °C,26.563 °C,26.563 °C,38.4 %RH,38.4 %RH,38.4 %RH
32,2014-07-24 10:32:16,26.560 °C,26.503 °C,26.503 °C,38.4 %RH,38.4 %RH,38.2 %RH
33,2014-07-24 10:32:46,26.501 °C,26.448 °C,26.447 °C,38.7 %RH,38.4 %RH,38.4 %RH
34,2014-07-24 10:33:16,26.447 °C,26.391 °C,26.391 °C,38.7 %RH,38.7 %RH,38.4 %RH
35,2014-07-24 10:33:46,26.389 °C,26.336 °C,26.336 °C,38.9 %RH,38.7 %RH,38.7 %RH
