RIL,Rep,Leaf,Area,Subtotal,Max Width,Average Width,Length,Angle (degrees),distance to next leaf (inches),diameter of stem (mm),height (inches),dry weight (g)
63,1,1,405.162,548.729,25,3.8,106.3,10,3,14,118,197.63
63,1,2,393.452,942.181,23,3.5,113.6,14,4.5,16,,
63,1,3,432.092,1374.273,25.1,4,108.2,17,7.5,17,,
63,1,4,423.271,1797.544,22,3.6,116.6,16,8,19,,
63,1,5,427.513,2225.057,24.5,3.7,114.2,16,8,18,,
63,1,6,420.059,2645.116,23.5,3.7,114.6,15,7,22,,
63,1,7,440.273,3085.389,25.3,3.5,126.2,20,8,20,,
63,1,8,439.744,3525.133,23.6,4,111.2,15,7,22,,
63,1,9,396.917,3922.05,25.2,3.2,123.9,20,7,22,,
63,1,10,451.234,4373.284,24.9,3.8,117.5,15,8,20,,
63,1,11,448.577,4821.861,25,3.3,137.5,20,7,22,,
63,1,12,489.094,5310.955,25,3.8,129.8,18,,,,
63,2,1,363.849,5674.804,23.9,3.4,107.1,10,3,11,139,120.84
63,2,2,362.825,6037.629,22.1,3.2,114.9,14,6.5,13,,
63,2,3,377.825,6415.454,22.9,3.1,120,14,9.5,14,,
63,2,4,372.299,6787.753,23.9,3,125,15,10,15,,
63,2,5,363.816,7151.569,22.9,3,120.1,12,8.5,15,,
63,2,6,313.977,7465.546,21,2.5,123.5,13,10.5,15,,
63,2,7,393.078,7858.624,24.7,2.9,134.1,12,10,16,,
63,2,8,468.771,8327.395,24.5,3.4,139.4,15,11,17,,
63,2,9,500.173,8827.568,24.4,3.2,154.1,15,13,17,,
63,2,10,499.773,9327.341,23.4,3.4,145.5,20,9.5,17,,
63,2,11,491.382,9818.723,24.5,3.3,147.2,17,,,,
63,3,1,319.554,10138.277,24.9,3.2,99.3,11,2.5,10,136.5,114.69
63,3,2,332.094,10470.371,25,3,111.5,10,8.5,11,,
63,3,3,292.968,10763.339,24.7,3.2,92.5,15,10,13,,
63,3,4,346.328,11109.667,21,3.3,103.4,10,9,13,,
63,3,5,350.588,11460.255,23.3,3.1,113.9,15,9,13,,
63,3,6,340.227,11800.482,24.3,3.2,107.4,15,10.5,13,,
63,3,7,352.588,12153.07,24,3.4,103.7,17,12,15,,
63,3,8,401.713,12554.783,24,3.5,113.3,14,12.5,16,,
63,3,9,388.431,12943.214,24.8,3.3,116.2,18,,,,
63,4,1,320.479,13263.693,24.4,3.4,94.5,10,3,12,140,133.2
63,4,2,306.104,13569.797,20.9,3.2,94.3,12,8,12,,
63,4,3,322.676,13892.473,23.6,3.2,99.4,14,9.5,13,,
63,4,4,336.408,14228.881,22.3,3.1,109.2,14,9.5,15,,
63,4,5,333.053,14561.934,21.4,3.5,96.1,13,10.5,14,,
63,4,6,334.37,14896.304,22.8,3.2,103,12,10.5,13,,
63,4,7,361.589,15257.893,19.7,3.5,103.4,20,11.5,14,,
63,4,8,341.235,15599.128,22.9,2.7,124.7,15,13,14,,
63,4,9,431.187,16030.315,22.7,3.4,127.8,15,10.5,15,,
63,4,10,407.346,16437.66,25,3.3,123.8,16,,,,
63,5,1,295.161,16732.822,24.8,3,97.1,10,1.5,9,129,98.39
63,5,2,303.851,17036.672,25.1,2.8,107.2,15,6.5,12,,
63,5,3,297.192,17333.863,23.8,3,98,13,10,14,,
63,5,4,307.002,17640.865,23.9,2.8,107.7,12,10,15,,
63,5,5,306.173,17947.039,24.6,2.8,107.6,11,9,14,,
63,5,6,292.538,18239.578,22.2,2.7,109.7,12,10,15,,
63,5,7,315.7,18555.277,22,2.8,111.6,12,9.5,15,,
63,5,8,412.108,18967.387,23.2,3.5,118.9,12,11.5,15,,
63,5,9,419.895,19387.279,23.4,3.6,117,15,11,16,,
63,5,10,399.732,19787.012,23.2,3.4,118.6,15,,,,
63,6,1,387.139,2780.724,23.2,4.3,89.9,12,3,10,137,176
63,6,2,389.225,3169.949,21.3,4.1,94.2,15,8,14,,
63,6,3,390.359,3560.308,20.6,4.2,92.4,13,10,15,,
63,6,4,405.578,3965.886,22.2,4,100.6,14,9,16,,
63,6,5,425.669,4391.555,23.2,3.6,117.1,13,7.5,16,,
63,6,6,400.73,4792.285,22.1,3.6,112.1,14,8.5,17,,
63,6,7,407.616,5199.901,22.3,3.5,117.8,20,9,17,,
63,6,8,402.899,5602.8,22.7,3.3,122.5,20,10,17,,
63,6,9,441.839,6452.268,24.8,3.8,117.5,20,10.5,17,,
63,6,10,522.381,6974.649,22.2,4.6,113,12,11,18,,
63,6,11,509.626,7484.275,24,4.4,115.3,16,,,,
63,7,1,394.838,7879.397,22.2,4.2,93.6,14,1.5,12,140,176.42
63,7,2,417.906,8297.303,21.6,4.2,99.8,15,5.5,14,,
63,7,3,422.029,8719.332,22.4,4.3,97.1,12,9,14,,
63,7,4,430.814,9150.146,23.3,3.8,112.7,14,10,16,,
63,7,5,400.7,9550.846,21.2,3.5,115.2,15,8,17,,
63,7,6,409.209,9960.055,23.4,4,101.3,15,8,17,,
63,7,7,376.36,10336.415,24.6,3.5,107.4,16,9,16,,
63,7,8,348.42,10684.835,21.6,3,114.4,20,9,17,,
63,7,9,365.225,11050.06,24.1,3.3,112,20,9.5,17,,
63,7,10,461.93,11511.99,23.9,3.8,121.2,17,12,18,,
63,7,11,476.298,11988.288,22.3,4.2,114.2,15,10.5,17,,
63,7,12,448.044,12436.332,23.7,3.8,118.5,18,,,,
63,8,1,366.297,12802.629,24.8,3.8,95.8,11,1.5,10,132,136.97
63,8,2,377.559,13180.188,22.1,3.8,100.6,15,5,12,,
63,8,3,383.36,13563.548,21.4,3.6,105.6,12,9,13,,
63,8,4,389.912,13953.46,24.9,3.6,107,14,10,15,,
